_id,clase,geo_lat,geo_long,rdfs_label,tieneEnlaceSIG,uri
642ed9bc24816aaade326c9b,PALACIO ,39.4741,-6.36998,de los Golfines de Abajo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1184 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/34-palacio-de-los-golfines-de-abajo
642ed9bc24816aaade326c9c,CASA ,39.4739,-6.37043,de los Becerra,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1170 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/35-casa-de-los-becerra
642ed9bc24816aaade326c9d,CASA ,39.4743,-6.37126,de los Ribera,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1187 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/36-casa-de-los-ribera
642ed9bc24816aaade326c9e,TORRE ,39.4741,-6.37183,del Horno,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1193 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/37-torre-del-horno
642ed9bc24816aaade326c9f,CASA ,39.4739,-6.37095,del Mono o de Espadero-Pizarro,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1188 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/38-casa-del-mono-o-de-espadero-pizarro
642ed9bc24816aaade326ca0,TORRE ,39.4735,-6.36902,del Cristo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1228 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/39-torre-del-cristo
642ed9bc24816aaade326ca1,MONUMENTO ,39.472,-6.37077,Muralla Arabe Sur,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=2102 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/4-monumento-muralla-arabe-sur
642ed9bc24816aaade326ca2,ARCO ,39.4735,-6.36915,del Cristo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1227 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/40-arco-del-cristo
642ed9bc24816aaade326ca3,TORRE ,39.4733,-6.36905,de la Puerta del Concejo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1212 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/41-torre-de-la-puerta-del-concejo
642ed9bc24816aaade326ca4,TORRE ,39.4724,-6.3692,de los Pozos o del Gitano,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1209 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/42-torre-de-los-pozos-o-del-gitano
642ed9bc24816aaade326ca5,TORRE ,39.4723,-6.36967,Adosada,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1210 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/43-torre-adosada
642ed9bc24816aaade326ca6,TORRE ,39.472,-6.36983,Albarrana,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1211 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/44-torre-albarrana
642ed9bc24816aaade326ca7,CASA ,39.4728,-6.36975,de los Caballos,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1169 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/45-casa-de-los-caballos
642ed9bc24816aaade326ca8,IGLESIA ,39.4736,-6.37036,San Francisco Javier,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1159 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/46-iglesia-san-francisco-javier
642ed9bc24816aaade326ca9,PALACIO ,39.4733,-6.37008,de Luisa de Carvajal,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1230 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/47-palacio-de-luisa-de-carvajal
642ed9bc24816aaade326caa,CASA ,39.4737,-6.37121,de Ovando Aldana,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1189 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/48-casa-de-ovando-aldana
642ed9bc24816aaade326cab,PALACIO ,39.4739,-6.37163,de la Generala,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1192 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/49-palacio-de-la-generala
642ed9bc24816aaade326cac,IGLESIA ,39.4734,-6.37348,San Juan,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1165 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/5-iglesia-san-juan
642ed9bc24816aaade326cad,CASA ,39.4735,-6.37108,del Aguila,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1190 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/50-casa-del-aguila
642ed9bc24816aaade326cae,CASA ,39.4735,-6.37082,del Sol o de los Solis,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1225 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/51-casa-del-sol-o-de-los-solis
642ed9bc24816aaade326caf,CASA ,39.4736,-6.3716,Mudejar,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1172 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/52-casa-mudejar
642ed9bc24816aaade326cb0,PALACIO ,39.4737,-6.37177,de los Condes de Adanero,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1191 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/53-palacio-de-los-condes-de-adanero
642ed9bc24816aaade326cb1,PALACIO ,39.4735,-6.37144,de los Saavedra,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1226 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/54-palacio-de-los-saavedra
642ed9bc24816aaade326cb2,PALACIO ,39.4733,-6.37154,de los Ulloa-Roda,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1198 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/55-palacio-de-los-ulloa-roda
642ed9bc24816aaade326cb3,PALACIO ,39.4733,-6.37198,de los Golfines de Arriba,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1197 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/56-palacio-de-los-golfines-de-arriba
642ed9bc24816aaade326cb4,TORRE ,39.4733,-6.3712,de los Sande,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1199 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/57-torre-de-los-sande
642ed9bc24816aaade326cb5,IGLESIA ,39.4732,-6.37095,San Mateo,http://sig.caceres.es/serweb/fichasig/fichatoponimia.php?mslink=1157 ,http://opendata.caceres.es/recurso/turismo/monumentos/Monumento/58-iglesia-san-mateo
